,file_list,tempmean,tempmedian,tempmin,tempmax,depthmean,salinmean,salinmedian,salinmin,salinmax
1,01032020_PJ1.xlsx,4.297536765,4.19,2.42,5.91,0.852647059,25.69900735,25.68,23.17,28.69
2,01032020_PJ6.xlsx,4.866579926,4.97,3.41,5.8,1.574200743,2.871078067,2.82,,
3,01062020_PJ1.xlsx,4.934,5.04,3.38,5.69,1.839482759,24.80882759,25.19,21.23,27
4,01062020_PJ6.xlsx,5.277147766,5.3,4.25,6.11,1.653333333,25.93498282,26.74,,28.9
5,01092020_PJ1.xlsx,4.571706485,4.77,2.42,5.77,0.978293515,27.13699659,26.86,23.54,29.92
6,01092020_PJ6.xlsx,3.682651007,4.08,-0.22,5.11,2.188154362,28.04865772,28.12,26.26,29.66
7,01132020_PJ1.xlsx,5.17184492,5.97,1.77,8.33,2.047860963,28.25898396,28.21,27.14,29.97
8,01132020_PJ6.xlsx,5.204893048,5.08,2.45,7.84,1.821791444,,,,
9,01132020_PP1.xlsx,6.055392491,6.67,3,8.3,1.780375427,,,,
10,01152020_PJ1.xlsx,6.466519608,6.43,6.01,6.96,2.055196078,28.97769608,28.995,27.75,29.57
11,01152020_PJ6.xlsx,6.599558824,6.57,6.22,6.95,1.826029412,28.7652451,28.975,25.38,30.23
12,01222020_PJ1.xlsx,3.42738024,2.77,0.81,7,3.447200599,,,,
13,01222020_PJ6.xlsx,3.926392216,3.2,2.02,7.01,2.517664671,28.79041916,28.86,26.7,30.17
14,01222020_PP1.xlsx,3.819166667,3.12,-0.09,8.5,1.970308219,29.35042237,29.79,,31.37
15,01282020_NP2.xlsx,4.166913319,4.56,1.48,6.14,1.619957717,28.16042283,28.39,24.5,30.12
16,01292020_PJ1.xlsx,4.849670782,4.9,3.77,6.14,3.213703704,30.23713992,30.215,28.81,31.22
17,01292020_PJ6.xlsx,4.974804124,5.22,3.8,5.72,1.899546392,,,,
18,01292020_PP1.xlsx,4.808200837,4.91,3.16,6.1,1.949225941,30.00738494,29.95,29.36,31.34
19,01302020_NP2.xlsx,4.295052083,4.5,2.49,5.09,1.190677083,30.19942708,30.185,29.44,30.94
20,01312020_PJ6.xlsx,4.65857868,4.57,3.73,5.47,2.739898477,22.0635533,24.27,,29.39
21,01312020_PP1.xlsx,3.872244898,3.87,2.33,5.46,1.619489796,23.50295918,23.92,21.06,25.32
22,02042020_NP2.xlsx,4.45432377,4.72,2.51,5.64,2.598237705,28.33116803,28.205,26.47,29.93
23,02042020_PJ2.xlsx,4.534826667,4.52,3.76,5.13,1.856293333,29.18874667,28.41,27.05,31.12
24,02042020_PJ6.xlsx,4.956383562,5.01,4.42,5.51,1.88309589,,,,
25,02042020_PP1.xlsx,4.725749319,4.8,3.83,5.53,1.858119891,,,,
26,02112020_NP2.xlsx,4.89318927,5.11,2.78,6.36,2.352384501,27.50162444,27.58,25.06,29.39
27,02112020_PJ6.xlsx,5.287737705,5.22,5.08,5.79,2.663344262,29.72718033,29.85,28.53,30.6
28,02112020_PP1.xlsx,5.106023564,5.21,3.16,6.38,1.674594993,28.01301915,27.9,27.13,29.37
29,02172020_NP2.xlsx,4.250803571,4.59,1.78,6.21,2.713,27.62307143,27.7,26.09,29.51
30,02172020_PJ2.xlsx,4.21871134,4.79,1.67,5.58,1.542972509,,,,
31,02172020_PJ6.xlsx,4.658404803,5.09,3.05,5.77,2.383259005,,,,
32,02172020_PP1.xlsx,4.223367698,4.36,1.29,5.81,2.042130584,,,,
33,02212020_NP2.xlsx,4.168070175,4.31,1.42,6.4,2.613107769,27.21100251,27.41,24.68,29.19
34,02212020_PJ2.xlsx,4.521260054,4.65,2.15,6.22,2.376005362,29.29758713,29.41,28.35,30.54
35,02212020_PJ6.xlsx,4.600748663,4.6,2.56,6.38,2.689946524,,,,
36,02212020_PP1.xlsx,4.206005362,4.49,1.27,5.84,1.195844504,,,,
37,02252020_NP1.xlsx,4.731921053,4.845,1.63,6.64,1.120657895,29.8835,30.075,27.77,30.81
38,02252020_NP2.xlsx,4.429763158,4.375,1.86,6.86,2.762552632,29.63434211,29.765,27.62,30.72
39,02252020_PJ2.xlsx,4.360235602,4.01,2.04,6.4,2.234842932,,,,
40,02252020_PJ6.xlsx,4.497480519,4.36,2.81,5.88,3.020961039,,,,
41,02252020_PP1.xlsx,4.091830239,4.19,1.59,6.41,0.780132626,29.36421751,29.33,28.62,30.56
42,03022020_NP1.xlsx,5.312849558,5.31,1.77,7.91,1.195274336,,,,
43,03022020_NP2.xlsx,5.103321555,4.91,1.6,7.77,1.760848057,,,,
44,03022020_PJ2.xlsx,5.070659898,4.69,1.94,8.2,3.054416244,29.26309645,29.58,26.01,30.54
45,03022020_PJ6.xlsx,5.508747885,5.62,3.62,7.67,2.470744501,29.86769882,29.85,24.81,31.09
46,03022020_PP1.xlsx,5.153118644,4.82,1.62,7.89,2.541033898,27.08310169,27.14,26,27.8
47,03062020_NP1.xlsx,7.109685039,7.3,4.1,9.44,1.914225722,,,,
48,03092020_PJ2.xlsx,6.604384615,6.48,4.41,8.83,1.3298,,,,
49,03122020_NP1.xlsx,6.770104167,6.78,4.46,9.21,2.870225694,,,,
50,03162020_NP1.xlsx,8.314195251,8.27,6.85,10.12,1.487730871,27.076781,27.05,26.07,28.43
51,03162020_NP3.xlsx,9.099738903,9.14,7.61,10.4,2.56921671,29.84143603,29.9,27.86,31.38
52,03162020_PP1.xlsx,8.493571429,8.505,6.85,10.24,1.674894958,30.07352941,30.17,28.19,31.47
53,03162020_PP3.xlsx,8.482241015,8.46,7.03,9.66,0.821226216,29.29674419,29.43,27.58,30.85
54,03242020_NP1.xlsx,7.752634961,7.99,5.39,10.45,0.343534704,,,,
55,03242020_NP3.xlsx,8.324103226,8.43,5.9,10.42,1.532296774,,,,
56,03242020_PP3.xlsx,8.483504611,8.71,6.22,10.27,2.82083004,,,,
57,12272019_PJ6.xlsx,4.876839378,4.97,3.87,5.62,2.671528497,27.39196891,27.57,25.19,28.47
58,12312019_PJ1.xlsx,5.668817481,5.69,4.94,6.74,1.56966581,,,,
59,12312019_PJ6.xlsx,5.652366412,5.65,4.82,6.36,2.831068702,26.71419847,27.26,24.02,28.68
