,file_list,tempmean,tempmedian,tempmin,tempmax,tempdiff,depthmean,salinmean,salinmedian,salinmin,salinmax,
1,01082021_PJ2,4.656829268,4.67,3.83,5.11,0.25,3.626487805,25.48902439,27.58,18.35,28,01082021-PJ2.xlsx
2,01082021_PJ6,5.446183575,5.46,4.56,6.12,0.31,2.991014493,25.89347826,26.36,20.7,29.51,01082021-PJ6.xlsx
3,01082021_PP1,4.863170732,4.89,3.6,5.82,-0.22,0.299609756,21.61839024,21.24,16.44,28.05,01082021-PP1.xlsx
4,01112021_PJ5,4.799714286,4.78,3.42,5.75,1.52,2.3888,26.938,28.02,10.84,28.69,01112021-PJ5.xlsx
5,01112021_PJ6,5.022342007,5.06,4.06,5.63,0.39,2.790929368,28.74550186,28.75,27.67,29.6,01112021-PJ6.xlsx
6,01112021_PP1,4.670805861,4.7,3.27,6.13,-1.01,0.134725275,29.18,29.16,27.36,30.41,01112021-PP1.xlsx
7,01152021_PJ5,5.188082192,5.21,2.9,6.52,-2.12,2.399360731,27.36479452,28.56,6.02,29.24,01152021-PJ5.xlsx
8,01152021_PJ6,5.383170103,5.35,4.49,6.33,-1.02,2.579123711,29.07659794,29.11,27.59,30.12,01152021-PJ6.xlsx
9,01152021_PP1,5.266165803,5.28,3.04,6.52,-0.95,0.336968912,29.60248705,29.7,28.16,30.78,01152021-PP1.xlsx
10,01192021_PJ5,5.758186528,5.89,3.05,7.32,3.05,2.14373057,27.49481865,27.66,22.93,28.97,01192021-PJ5.xlsx
11,01192021_PJ6,5.791081794,5.81,4.99,6.57,0.95,2.483139842,28.36221636,28.36,26.93,29.72,01192021-PJ6.xlsx
12,01192021_PP1,5.437,5.515,3.23,7.04,2.7,-0.024078947,29.12447368,29.08,27.9,30.78,01192021-PP1.xlsx
13,01222021_PJ5,3.626321244,3.5,1.48,5.03,0.19,2.336580311,26.75264249,27.12,22.57,28.21,01222021-PJ5.xlsx
14,01222021_PJ6,4.671418685,4.71,3.62,5.46,0.75,2.585605536,28.18688581,28.26,26.85,29,01222021-PJ6.xlsx
15,01222021_PP1,3.618461538,3.45,2.62,5.21,0.94,0.079755245,22.18244755,20.23,13.87,29.41,01222021-PP1.xlsx
16,01252021_NP1,1.826007194,2.09,-1.49,5.4,3.05,4.323165468,27.52510791,27.5,25.95,30.03,01252021-NP1.xlsx
17,01252021_NP3,3.144244604,3.09,-0.34,5.53,3.14,0.100611511,29.7742446,29.74,28.81,31.61,01252021-NP3.xlsx
18,01252021_PP1,1.706812081,1.84,-0.87,3.73,2.71,2.11,4.589597315,0,0,27.33,01252021-PP1.xlsx
19,01252021_PP3,2.650606061,2.81,-0.46,5.15,3.24,4.288855219,30.16026936,29.93,28.23,32.31,01252021-PP3.xlsx
20,01282021_NP1,2.495296167,2.62,1.01,4.1,-1.42,4.537003484,29.41020906,29.35,28.56,30.27,01282021-NP1.xlsx
21,01282021_NP3,3.935174825,4.09,0.3,4.99,-2.63,0.040664336,31.20611888,31.3,29.39,31.92,01282021-NP3.xlsx
22,01282021_PP1,2.303169014,2.38,0.39,3.8,-1.71,2.362183099,29.03630282,29.15,27.03,30.35,01282021-PP1.xlsx
23,01282021_PP3,3.124390244,3.3,1.67,4.22,-0.95,4.622508711,31.05327526,31.35,9.12,32.36,01282021-PP3.xlsx
24,02032021_NP1,0.766006944,0.69,-1.61,3.62,1.66,4.797326389,29.53586806,29.425,28.12,30.84,02032021-NP1.xlsx
25,02032021_NP3,2.16299308,2.46,-1.08,4.01,-0.34,0.211989619,31.49365052,31.64,29.51,32.53,02032021-NP3.xlsx
26,02032021_PP1,1.435873288,1.53,-1.37,3.54,-0.65,2.537174658,26.85981164,27.54,21.61,30.66,02032021-PP1.xlsx
27,02032021_PP3,1.700702055,1.73,-0.78,3.52,-0.59,4.791472603,31.04059932,30.96,29.57,32.51,02032021-PP3.xlsx
28,02082021_NP1,2.761138211,2.67,0.7,5.11,-1.42,3.026544715,23.72752033,23.815,18.29,28.38,02082021-NP1.xlsx
29,02082021_NP3,4.305893224,4.41,2.85,5.24,-0.08,1.487659138,31.85408624,32,30.11,32.3,02082021-NP3.xlsx
30,02082021_PP1,3.135689655,3.375,1.04,4.99,1.41,1.800711207,28.07375,29.92,13.17,30.98,02082021-PP1.xlsx
31,02082021_PP3,3.544946004,3.8,1.17,4.91,1.22,3.680993521,30.10604752,30.33,27.71,31.51,02082021-PP3.xlsx
32,02102021_NP1,2.167430168,2.1,0.54,3.72,-0.49,3.335865922,29.75569832,29.74,28.72,31.07,02102021-NP1.xlsx
33,02102021_NP3,4.221491713,4.34,3.11,4.95,0.25,1.320939227,31.67889503,31.68,31.24,32.06,02102021-NP3.xlsx
34,02112021_PP1,2.579823944,2.76,0.76,3.69,-1.74,1.779964789,25.13545775,29.19,15.97,30.89,02112021-PP1.xlsx
35,02112021_PP3,3.247881944,3.38,1.84,4.28,-0.88,3.6890625,30.34104167,30.44,2.25,31.85,02112021-PP3.xlsx
36,03042021_NP1,3.303356643,3.37,1.25,4.83,1.21,NA,NA,NA,NA,NA,03042021_NP1.xlsx
37,03042021_NP3,3.961363636,3.82,2.45,5.58,2.26,2.555559441,29.14786713,29.295,26.78,31.31,03042021_NP3.xlsx
38,03042021_NP4,2.247167832,2.36,-1.63,7.04,2.23,NA,25.9027972,26.01,23.52,29.25,03042021_NP4.xlsx
39,03042021_PP1,2.985244755,3.135,0.63,5.51,0.94,NA,NA,NA,NA,NA,03042021_PP1.xlsx
40,03042021_PP3,3.375804196,3.31,1.42,5.49,0.33,NA,NA,NA,NA,NA,03042021_PP3.xlsx
41,03082021_NP1,3.198146214,3.07,1.98,4.61,0.61,2.100809399,21.79245431,22.04,20.14,23.63,03082021_NP1.xlsx
42,03082021_NP3,3.808355091,3.7,2.26,5.92,-1.02,2.346109661,28.98840731,28.92,27.16,30.11,03082021_NP3.xlsx
43,03082021_NP4,1.983629243,2.01,-1.2,5.65,1.33,-1.664882507,27.10762402,26.99,25.18,29.47,03082021_NP4.xlsx
44,03082021_PJ7,3.504671916,3.56,1.2,5.98,-0.34,-0.679527559,16.80367454,17.03,13.26,18.33,03082021_PJ7.xlsx
45,03082021_PP1,2.862146597,2.82,0.78,4.51,-0.19,1.164764398,100,100,100,100,03082021_PP1.xlsx
46,03082021_PP3,3.428155844,3.42,1.94,4.81,-0.18,3.082441558,28.55903896,28.41,27.55,30.32,03082021_PP3.xlsx
47,03112021_NP1,5.223758389,5.28,3.02,7.23,-1.33,2.237080537,4.289228188,4.28,4.01,4.59,03112021_NP1.xlsx
48,03112021_NP3,6.467830508,6.53,4.61,7.98,-3.37,2.678779661,28.88698305,28.86,27.38,30.55,03112021_NP3.xlsx
49,03112021_NP4,5.912566667,5.985,1.4,10.63,-7.47,4.0531,29.7524,29.425,28.38,31.72,03112021_NP4.xlsx
50,03112021_PJ7,6.366739927,6.47,3.72,10.32,-2.12,1.396776557,23.27659341,24.28,14.32,27.09,03112021_PJ7.xlsx
51,03112021_PP1,5.229708029,5.4,3.27,7.48,-0.03,4.024890511,28.94620438,28.87,28.14,29.74,03112021_PP1.xlsx
52,03112021_PP3,5.10125,5.07,3.45,6.59,-0.8,0.6175,29.74117647,29.78,27.79,30.43,03112021_PP3.xlsx
53,03172021_NP1,4.946975524,4.93,1.59,8.77,1.79,-1.408933566,28.05433566,29.635,21.56,30.89,03172021_NP1.xlsx
54,03172021_NP3,6.150855148,6.41,2.78,9.8,3.82,3.232582897,29.32478185,29.37,27.29,30.59,03172021_NP3.xlsx
55,03172021_NP4,5.467552083,5.31,-0.74,13.93,5.28,1.056770833,100,100,100,100,03172021_NP4.xlsx
56,03172021_PJ7,6.699213287,7.25,3.26,10.68,3.56,-0.221888112,21.79975524,21.43,17.46,27.15,03172021_PJ7.xlsx
57,03172021_PP1,5.426263158,5.9,0.82,9.01,2.18,1.804719298,6.500719298,0,0,19.27,03172021_PP1.xlsx
58,03172021_PP3,5.254493007,5.42,2.34,8.48,1.36,2.298199301,25.8954021,26.185,19.53,30.15,03172021_PP3.xlsx
59,03222021_NP1,5.635723404,5.155,4.06,7.97,-3.46,2.237680851,29.244,29.175,27.81,30.53,03222021_NP1.xlsx
60,03222021_NP3,6.164510638,5.65,4.57,8.89,-2.55,2.850702128,28.89508511,28.96,21.17,30.46,03222021_NP3.xlsx
61,03222021_PJ7,6.031431493,5.69,4.24,9.41,-4,4.338793456,11.66128834,14.69,0,18.68,03222021_PJ7.xlsx
62,03222021_PP1,5.688108652,5.13,3.72,9.24,-5.52,1.896820926,27.44599598,26.76,25.94,29.92,03222021_PP1.xlsx
63,03222021_PP3,5.879758551,5.53,3.79,9.18,-5.13,0.741609658,24.69843058,24.82,21.85,26.84,03222021_PP3.xlsx
64,03252021_NP1,9.637050847,9.81,7.53,11.95,-0.54,2.809084746,28.00244068,27.86,26.83,29.57,03252021_NP1.xlsx
65,03252021_NP3,9.40956229,9.49,7.99,10.67,-1.2,-1.12979798,19.50848485,24.33,9.89,25.06,03252021_NP3.xlsx
66,03252021_NP5,9.242233333,9.38,7.32,10.48,-2.13,-0.328266667,17.55103333,17.48,16.63,19.17,03252021_NP5.xlsx
67,03252021_PJ7,9.400434783,9.315,8.37,10.9,-1,2.10134058,19.3367029,19.38,18.48,20.21,03252021_PJ7.xlsx
68,03252021_PP1,9.875111111,10.18,6.52,11.87,0.73,1.548851852,20.59440741,21.735,10.83,24.22,03252021_PP1.xlsx
69,03252021_PP3,9.061291513,9.34,6.9,10.72,2.8,2.996383764,22.43081181,22.33,17.76,25.16,03252021_PP3.xlsx
70,03302021_PJ7,10.5025813,10.41,7.36,12.93,-0.52,2.219817073,26.90731707,27.375,21,28.77,03302021_PJ7.xlsx
71,03302021_PP1,9.397959184,9.34,6.9,11.74,0.2,-0.147102041,28.74044898,28.67,27.17,30.72,03302021_PP1.xlsx
72,03302021_PP3,8.823894523,8.91,6.6,11.03,-1.17,1.886450304,26.43831643,26.42,24,29.19,03302021_PP3.xlsx
73,03312021_NP1,8.405820106,8.34,6.51,10.86,0.13,1.96973545,29.32813051,29.76,19.55,30.94,03312021_NP1.xlsx
74,03312021_NP3,9.876462347,9.92,7.14,11.59,-1.18,3.528528897,29.36192644,29.31,25.22,30.49,03312021_NP3.xlsx
75,03312021_NP5,9.888846154,10.055,7.27,11.51,-0.56,3.837482517,24.45825175,25.855,17.29,28.02,03312021_NP5.xlsx
76,04062021_NP1,8.466723842,8.58,6.3,10.96,-1.51,1.941629503,29.26795883,29.18,3.63,30.97,04062021_NP1.xlsx
77,04062021_NP3,9.41761658,9.36,7.17,11.66,1.93,3.648238342,29.74749568,29.95,25.89,30.67,04062021_NP3.xlsx
78,04062021_NP5,9.555788562,9.44,7.03,11.47,0.89,4.035008666,27.70663778,27.82,24.06,29.07,04062021_NP5.xlsx
79,04062021_PJ7,10.12712766,10.065,7.6,12.18,-0.06,2.321914894,26.82902736,27.38,22.62,29.08,04062021_PJ7.xlsx
80,04062021_PP1,9.144680851,9.31,6.27,11.33,-0.82,-0.041610942,29.16978723,29.065,28.15,30.62,04062021_PP1.xlsx
81,04062021_PP3,8.801428571,8.94,6.71,11.09,-0.96,2.285531915,28.18279635,28.57,19.78,29.49,04062021_PP3.xlsx
82,04092021_NP1,10.88087413,10.54,8.84,13.73,-1.08,2.14513986,29.44996503,29.425,28.53,30.4,04092021_NP1.xlsx
83,04092021_NP3,11.37375439,11.56,8.65,13.28,-4.22,3.627122807,30.18210526,30.21,29.39,30.69,04092021_NP3.xlsx
84,04092021_NP5,11.42351916,11.63,9.91,13.13,-3.09,4.134355401,11.13278746,11.13,9.6,12.11,04092021_NP5.xlsx
85,04092021_PJ7,12.23164336,12.08,9.88,16.11,-3.4,2.246048951,27.39024476,27.675,24.09,28.71,04092021_PJ7.xlsx
86,04092021_PP1,11.49303136,11.49,8.3,14.62,-0.55,-0.155156794,29.4666899,29.47,28.82,30.15,04092021_PP1.xlsx
87,04092021_PP3,10.24761404,10.28,7.94,12.55,-1.59,2.064385965,27.99617544,27.97,26.76,28.72,04092021_PP3.xlsx
88,04142021_NP1,10.38952282,10.45,8.31,12.83,-0.16,2.168215768,28.79410788,28.95,27.9,29.74,04142021_NP1.xlsx
89,04142021_NP3,11.95393305,11.675,8.41,15.1,1.7,3.493472803,29.47705021,29.515,28.52,30.65,04142021_NP3.xlsx
90,04142021_PP1,11.65702083,11.6,8.44,14.47,-0.52,-0.140625,29.46872917,29.36,28.92,30.41,04142021_PP1.xlsx
91,04142021_PP3,10.44627083,10.235,8.27,13.36,-0.93,2.0170625,28.160875,28.14,24.51,29.2,04142021_PP3.xlsx
92,12162020_PJ6,8.094025157,8.07,6.06,9.44,-0.48,1.106792453,29.09471698,29.07,26.95,30.83,12162020_PJ6.xlsx
93,12232020_PJ2,3.883465347,3.86,3.08,4.38,-0.22,0.806188119,,,,,12232020_PJ2.xlsx
94,12232020_PJ6,5.129609756,5.17,4.42,5.85,0.65,0.293414634,30.19087805,30.2,29.64,30.68,12232020_PJ6.xlsx
95,12232020_PP1,4.443233831,4.38,3.35,5.75,-0.89,2.631343284,25.93472637,25.94,25.24,26.52,12232020_PP1.xlsx
